name,tensor_type,input_size,forward_avg,forward_avg_impr,backward_avg,backward_avg_impr,forward_mb_avg,forward_mb_avg_impr,backward_mb_avg,backward_mb_avg_impr
triton_13_02b9d9_no_sumlike,TensorType.ACTIVATIONS,"[2048, 128256]",2.88,39%,7.55,82%,1.9786,-0%,3.4334,-40%
triton_13_02b9d9_no_sumlike,TensorType.WEIGHTS,"[128, 2048]",1.46,-56%,1.33,-47%,0.0022,-13%,0.0034,-40%
triton_13_02b9d9_no_sumlike,TensorType.WEIGHTS,"[128, 96, 64, 64]",1.64,-20%,2.35,-40%,0.3778,-0%,0.6563,-40%
triton_13_02b9d9_no_sumlike,TensorType.WEIGHTS,"[2, 96, 64, 64]",1.8,-117%,1.85,-114%,0.0061,-4%,0.0103,-40%
triton_13_02b9d9_no_sumlike,TensorType.WEIGHTS,"[2048, 128256]",2.95,37%,7.22,-15%,1.9757,-0%,3.4317,-40%
triton_1_43d6d2_PR,TensorType.ACTIVATIONS,"[128, 2048]",1.95,-86%,1.88,-96%,0.002,-0%,0.0035,-38%
triton_1_43d6d2_PR,TensorType.WEIGHTS,"[128, 2048]",1.95,-109%,1.88,-107%,0.0022,-13%,0.0034,-40%
triton_2_07e5b9_PR_fixbig,TensorType.ACTIVATIONS,"[128, 2048]",1.85,-77%,1.86,-94%,0.002,-0%,0.0035,-38%
triton_2_07e5b9_PR_fixbig,TensorType.ACTIVATIONS,"[128, 96, 64, 64]",1.99,-19%,2.48,-22%,0.3778,-1%,0.657,-40%
triton_2_07e5b9_PR_fixbig,TensorType.ACTIVATIONS,"[2, 96, 64, 64]",2.0,-111%,2.0,-123%,0.0059,-0%,0.011,-50%
triton_2_07e5b9_PR_fixbig,TensorType.ACTIVATIONS,"[2048, 128256]",3.16,34%,7.56,82%,1.9786,-0%,3.4334,-40%
triton_2_07e5b9_PR_fixbig,TensorType.WEIGHTS,"[128, 2048]",1.83,-96%,1.85,-104%,0.0022,-13%,0.0034,-40%
triton_2_07e5b9_PR_fixbig,TensorType.WEIGHTS,"[128, 96, 64, 64]",1.61,-18%,2.35,-40%,0.3778,-1%,0.6573,-40%
triton_2_07e5b9_PR_fixbig,TensorType.WEIGHTS,"[2, 96, 64, 64]",1.91,-130%,1.99,-131%,0.0061,-4%,0.0103,-40%
triton_2_07e5b9_PR_fixbig,TensorType.WEIGHTS,"[2048, 128256]",3.34,28%,7.56,-21%,1.9757,-0%,3.4317,-40%
triton_3_4d6a103,TensorType.WEIGHTS,"[2048, 128256]",3.08,34%,7.5,-20%,1.9757,-0%,3.4317,-40%
triton_4_ea1b9b_2D_grid,TensorType.WEIGHTS,"[2048, 128256]",2.8,40%,3.96,37%,1.9757,-0%,3.4317,-40%
triton_4_ea1b9b_2D_grid_2,TensorType.ACTIVATIONS,"[128, 2048]",1.9,-82%,1.89,-97%,0.0023,-13%,0.0035,-38%
triton_4_ea1b9b_2D_grid_2,TensorType.ACTIVATIONS,"[2048, 128256]",3.39,29%,4.38,89%,1.9786,-0%,3.4334,-40%
